contrast_id,evidence_label,title,url,baseline_geometry,variant_geometry,baseline_scores,variant_scores,expected_stage_delta,subset_size_delta,flipped
fascism_abstention_source:gpt41mini_vs_gpt41,E4,Letter: Fascism is not easy to excise once it sets in,https://www.berkshireeagle.com/opinion/letters_to_editor/letter-fascism-is-not-easy-to-excise-once-it-sets-in/article_ad0da7b6-0471-46d3-9980-5eb4478b2376.html,singleton,singleton,1,4,3.0,0,True
fascism_abstention_source:gpt41mini_vs_gpt41,E29,Movie Review: 'Two Prosecutors' is a perfect nightmare of state corruption,https://www.newsday.com/entertainment/two-prosecutors-movie-review-b43855,singleton,singleton,4,1,-3.0,0,True
fascism_abstention_source:gpt41mini_vs_gpt41,E30,New IOC policy bans trans women from women’s Olympic events,https://www.ms.now/news/new-ioc-policy-bans-transgender-women-from-womens-olympic-events,singleton,singleton,4,1,-3.0,0,True
fascism_abstention_source:gpt41mini_vs_gpt41,E29,Movie Review: 'Two Prosecutors' is a perfect nightmare of state corruption,https://www.newsday.com/entertainment/two-prosecutors-movie-review-b43855,singleton,singleton,4,1,-3.0,0,True
fascism_abstention_source:gpt41mini_vs_gpt41,E12,Joe Scarborough: 'Massive' new GOP crisis 'could tear conservatism apart',https://www.alternet.org/scarborough-avlon-nazis/,singleton,singleton,1,4,3.0,0,True
fascism_abstention_source:gpt41mini_vs_gpt41,E4,Letter: Fascism is not easy to excise once it sets in,https://www.berkshireeagle.com/opinion/letters_to_editor/letter-fascism-is-not-easy-to-excise-once-it-sets-in/article_ad0da7b6-0471-46d3-9980-5eb4478b2376.html,singleton,singleton,1,4,3.0,0,True
fascism_abstention_source:gpt41mini_vs_gpt41,E9,Naomi Klein on the Fascism of Elite Backlash,https://www.nytimes.com/video/opinion/100000010732750/naomi-klein-on-the-fascism-of-elite-backlash.html,singleton,singleton,1,4,3.0,0,True
fascism_abstention_source:gpt41mini_vs_gpt41,E29,Movie Review: 'Two Prosecutors' is a perfect nightmare of state corruption,https://www.newsday.com/entertainment/two-prosecutors-movie-review-b43855,adjacent_subset,singleton,3|4,1,-2.5,-1,True
fascism_abstention_source:gpt41mini_vs_gpt41,E30,New IOC policy bans trans women from women’s Olympic events,https://www.ms.now/news/new-ioc-policy-bans-transgender-women-from-womens-olympic-events,adjacent_subset,singleton,4|3,1,-2.5,-1,True
fascism_abstention_source:gpt41mini_vs_gpt41,E29,Movie Review: 'Two Prosecutors' is a perfect nightmare of state corruption,https://www.newsday.com/entertainment/two-prosecutors-movie-review-b43855,adjacent_subset,singleton,4|3,1,-2.5,-1,True
fascism_abstention_source:gpt41mini_vs_gpt41,E21,We Are on the Road to Serfdom,https://townhall.com/columnists/les-rubin/2026/03/28/we-are-on-the-road-to-serfdom-n2673569,singleton,adjacent_subset,1,3|4,2.5,1,True
fascism_abstention_source:gpt41mini_vs_gpt41,E38,Feminist Leader and Human Rights Activist Yanar Mohammed Assassinated,https://www.opednews.com/populum/page.php?f=Feminist-Leader-and-Human-Activist_Assassination_Feminist_Feminist-History-260324-851.html,singleton,adjacent_subset,4,2|1,-2.5,1,True
fascism_abstention_source:gpt41mini_vs_gpt41,E7,Trump Labeled ‘Demented Narcissist’ By His Former White House Lawyer For Celebrating Mueller’s Death,https://www.huffpost.com/entry/ty-cobb-demented-narcissist-trump-over-robert-mueller-death-post_n_69bf091ce4b0284f9be0b723,singleton,adjacent_subset,1,3|4,2.5,1,True
fascism_abstention_source:gpt41mini_vs_gpt41,E30,New IOC policy bans trans women from women’s Olympic events,https://www.ms.now/news/new-ioc-policy-bans-transgender-women-from-womens-olympic-events,adjacent_subset,singleton,4|3,1,-2.5,-1,True
fascism_abstention_source:gpt41mini_vs_gpt41,E12,Joe Scarborough: 'Massive' new GOP crisis 'could tear conservatism apart',https://www.alternet.org/scarborough-avlon-nazis/,singleton,singleton,3,1,-2.0,0,True
fascism_abstention_source:gpt41mini_vs_gpt41,E15,Iran has been a sworn enemy of the US and Israel since 1979,https://www.jsonline.com/story/opinion/readers/2026/03/14/iran-war-ayatollah-trump-fascism-liberals/89108550007/,singleton,singleton,1,3,2.0,0,True
fascism_abstention_source:gpt41mini_vs_gpt41,E28,What’s behind the far-right push to turn Churchill into World War II’s villain: historian,https://www.alternet.org/right-wing-rewrite-history/,singleton,singleton,3,1,-2.0,0,True
fascism_abstention_source:gpt41mini_vs_gpt41,E45,Texas Antifa Convictions Provide 'Road Map' for Implementing Trump Counterterrorism Strategy: Prosecutor,https://www.dailysignal.com/2026/03/19/texas-antifa-convictions-provide-roadmap-for-implementing-trump-counterterrorism-strategy-prosecutor/,singleton,singleton,3,1,-2.0,0,True
fascism_abstention_source:gpt41mini_vs_gpt41,E14,'Wow': Observers horrified by 'scary' Trump brag showing he's following 'Putin's playbook',https://www.rawstory.com/trump-media-2676119670/,adjacent_subset,adjacent_subset,3|4,2|1,-2.0,0,True
fascism_abstention_source:gpt41mini_vs_gpt41,E13,Professor flees to Australia as Trump chaos reverberates through universities,https://www.rawstory.com/trump-university-2676248348/,adjacent_subset,adjacent_subset,4|3,1|2,-2.0,0,True
fascism_abstention_source:gpt41mini_vs_gpt41,E25,‘Break your silence’: Jane Fonda leads rally against Trump crackdown on arts and media,https://www.theguardian.com/us-news/2026/mar/27/jane-fonda-kennedy-center-rally-trump,adjacent_subset,adjacent_subset,4|3,1|2,-2.0,0,True
fascism_abstention_source:gpt41mini_vs_gpt41,E12,Joe Scarborough: 'Massive' new GOP crisis 'could tear conservatism apart',https://www.alternet.org/scarborough-avlon-nazis/,singleton,singleton,1,3,2.0,0,True
fascism_abstention_source:gpt41mini_vs_gpt41,E11,Letter: Why I'm participating in the No Kings national mobilization,https://www.berkshireeagle.com/opinion/letters_to_editor/letter-why-im-participating-in-the-no-kings-national-mobilization/article_6694a1d5-3129-4547-bbc7-d31760979e31.html,singleton,singleton,1,3,2.0,0,True
fascism_abstention_source:gpt41mini_vs_gpt41,E45,Texas Antifa Convictions Provide 'Road Map' for Implementing Trump Counterterrorism Strategy: Prosecutor,https://www.dailysignal.com/2026/03/19/texas-antifa-convictions-provide-roadmap-for-implementing-trump-counterterrorism-strategy-prosecutor/,singleton,singleton,3,1,-2.0,0,True
fascism_abstention_source:gpt41mini_vs_gpt41,E4,Letter: Fascism is not easy to excise once it sets in,https://www.berkshireeagle.com/opinion/letters_to_editor/letter-fascism-is-not-easy-to-excise-once-it-sets-in/article_ad0da7b6-0471-46d3-9980-5eb4478b2376.html,singleton,singleton,1,3,2.0,0,True
fascism_abstention_source:gpt41mini_vs_gpt41,E9,Naomi Klein on the Fascism of Elite Backlash,https://www.nytimes.com/video/opinion/100000010732750/naomi-klein-on-the-fascism-of-elite-backlash.html,singleton,singleton,1,3,2.0,0,True
fascism_abstention_source:gpt41mini_vs_gpt41,E11,Letter: Why I'm participating in the No Kings national mobilization,https://www.berkshireeagle.com/opinion/letters_to_editor/letter-why-im-participating-in-the-no-kings-national-mobilization/article_6694a1d5-3129-4547-bbc7-d31760979e31.html,singleton,singleton,1,3,2.0,0,True
fascism_abstention_source:gpt41mini_vs_gpt41,E45,Texas Antifa Convictions Provide 'Road Map' for Implementing Trump Counterterrorism Strategy: Prosecutor,https://www.dailysignal.com/2026/03/19/texas-antifa-convictions-provide-roadmap-for-implementing-trump-counterterrorism-strategy-prosecutor/,broad_subset,singleton,2|3|4,1,-2.0,-2,True
fascism_abstention_source:gpt41mini_vs_gpt41,E15,Iran has been a sworn enemy of the US and Israel since 1979,https://www.jsonline.com/story/opinion/readers/2026/03/14/iran-war-ayatollah-trump-fascism-liberals/89108550007/,singleton,singleton,3,1,-2.0,0,True
fascism_abstention_source:gpt41mini_vs_gpt41,E23,The Left Would Rather See the Iranian People Lose Than Let President Trump Win,https://townhall.com/tipsheet/amy-curtis/2026/03/27/trump-derangement-syndrome-goes-global-n2673457,singleton,singleton,1,3,2.0,0,True
fascism_abstention_source:gpt41mini_vs_gpt41,E38,Feminist Leader and Human Rights Activist Yanar Mohammed Assassinated,https://www.opednews.com/populum/page.php?f=Feminist-Leader-and-Human-Activist_Assassination_Feminist_Feminist-History-260324-851.html,singleton,singleton,1,3,2.0,0,True
fascism_abstention_source:gpt41mini_vs_gpt41,E30,New IOC policy bans trans women from women’s Olympic events,https://www.ms.now/news/new-ioc-policy-bans-transgender-women-from-womens-olympic-events,broad_subset,singleton,2|3|4,1,-2.0,-2,True
fascism_abstention_source:gpt41mini_vs_gpt41,E48,Florida Forced 2 Black Women to Have C-Sections They Didn’t Want,https://www.jezebel.com/florida-forced-2-black-women-to-have-c-sections-they-didnt-want,singleton,singleton,3,1,-2.0,0,True
