contrast_id,baseline_tag,variant_tag,baseline_label,variant_label,model_id,baseline_scale_size,variant_scale_size,endpoint,n_samples,mean_delta,median_delta,ci_low,ci_high,effect_size_dz,sign_flip_pvalue
c4_small_model_scale:v3_b1_gpt_4_1_mini_abstain_true__vs__v3_1_c4_gpt_4_1_mini_scale_5,v3_b1_gpt_4_1_mini_abstain_true,v3_1_c4_gpt_4_1_mini_scale_5,gpt-4.1-mini scale_4,gpt-4.1-mini scale_5,gpt-4.1-mini,4,5,abstain_rate,30,-0.32500000000000007,-0.35,-0.39499999999999996,-0.24833333333333338,-1.575682737469402,0.0001999600079984003
c4_small_model_scale:v3_b1_gpt_5_2_chat_abstain_true__vs__v3_1_c4_gpt_5_2_chat_scale_5,v3_b1_gpt_5_2_chat_abstain_true,v3_1_c4_gpt_5_2_chat_scale_5,gpt-5.2-chat scale_4,gpt-5.2-chat scale_5,gpt-5.2-chat,4,5,abstain_rate,30,-0.195,-0.225,-0.2617083333333333,-0.12333333333333334,-1.0004423800260624,0.0001999600079984003
c6_scale_probe:v3_1_c2_gpt_4_1_bundle_5_cluster_l2_v2__vs__v3_1_c6_gpt_4_1_bundle_5_cluster_l2_scale_7,v3_1_c2_gpt_4_1_bundle_5_cluster_l2_v2,v3_1_c6_gpt_4_1_bundle_5_cluster_l2_scale_7,gpt-4.1 clustered scale_4,gpt-4.1 clustered scale_7,gpt-4.1,4,7,abstain_rate,30,-0.06666666666666667,0.0,-0.14187499999999997,0.0,-0.3221849344569846,0.15616876624675066
c6_scale_probe:v3_1_c2_gpt_5_2_bundle_5_cluster_l2_v2__vs__v3_1_c6_gpt_5_2_bundle_5_cluster_l2_scale_7,v3_1_c2_gpt_5_2_bundle_5_cluster_l2_v2,v3_1_c6_gpt_5_2_bundle_5_cluster_l2_scale_7,gpt-5.2 clustered scale_4,gpt-5.2 clustered scale_7,gpt-5.2,4,7,abstain_rate,30,-0.075,0.0,-0.125,-0.025,-0.5033865892655734,0.023395320935812838
c7_scale_probe:v3_1_c2_gpt_4_1_bundle_5_cluster_l2_v2__vs__v3_1_c7_gpt_4_1_bundle_5_cluster_l2_scale_9,v3_1_c2_gpt_4_1_bundle_5_cluster_l2_v2,v3_1_c7_gpt_4_1_bundle_5_cluster_l2_scale_9,gpt-4.1 clustered scale_4,gpt-4.1 clustered scale_9,gpt-4.1,4,9,abstain_rate,30,-0.058333333333333334,0.0,-0.14166666666666666,0.008333333333333333,-0.27183626652496523,0.2505498900219956
c7_scale_probe:v3_1_c2_gpt_5_2_bundle_5_cluster_l2_v2__vs__v3_1_c7_gpt_5_2_bundle_5_cluster_l2_scale_9,v3_1_c2_gpt_5_2_bundle_5_cluster_l2_v2,v3_1_c7_gpt_5_2_bundle_5_cluster_l2_scale_9,gpt-5.2 clustered scale_4,gpt-5.2 clustered scale_9,gpt-5.2,4,9,abstain_rate,30,-0.06666666666666667,0.0,-0.13333333333333333,0.0,-0.3605162809021503,0.10277944411117776
c7_scale_probe_step:v3_1_c6_gpt_4_1_bundle_5_cluster_l2_scale_7__vs__v3_1_c7_gpt_4_1_bundle_5_cluster_l2_scale_9,v3_1_c6_gpt_4_1_bundle_5_cluster_l2_scale_7,v3_1_c7_gpt_4_1_bundle_5_cluster_l2_scale_9,gpt-4.1 clustered scale_7,gpt-4.1 clustered scale_9,gpt-4.1,7,9,abstain_rate,30,0.008333333333333333,0.0,-0.016666666666666666,0.03333333333333333,0.10421815207042284,1.0
c7_scale_probe_step:v3_1_c6_gpt_5_2_bundle_5_cluster_l2_scale_7__vs__v3_1_c7_gpt_5_2_bundle_5_cluster_l2_scale_9,v3_1_c6_gpt_5_2_bundle_5_cluster_l2_scale_7,v3_1_c7_gpt_5_2_bundle_5_cluster_l2_scale_9,gpt-5.2 clustered scale_7,gpt-5.2 clustered scale_9,gpt-5.2,7,9,abstain_rate,30,0.008333333333333333,0.0,-0.041666666666666664,0.058333333333333334,0.0542051340300698,1.0
c4_small_model_scale:v3_b1_gpt_4_1_mini_abstain_true__vs__v3_1_c4_gpt_4_1_mini_scale_5,v3_b1_gpt_4_1_mini_abstain_true,v3_1_c4_gpt_4_1_mini_scale_5,gpt-4.1-mini scale_4,gpt-4.1-mini scale_5,gpt-4.1-mini,4,5,mean_expected_stage,30,0.0442316730397226,-0.026388888888888906,-0.11943366122468288,0.2121309760644125,0.09479074123958023,0.612877424515097
c4_small_model_scale:v3_b1_gpt_5_2_chat_abstain_true__vs__v3_1_c4_gpt_5_2_chat_scale_5,v3_b1_gpt_5_2_chat_abstain_true,v3_1_c4_gpt_5_2_chat_scale_5,gpt-5.2-chat scale_4,gpt-5.2-chat scale_5,gpt-5.2-chat,4,5,mean_expected_stage,30,-0.0664575755771576,-0.1428571428571428,-0.24002654538229226,0.1047037548257556,-0.13479067073254167,0.46550689862027594
