contrast_id,family_slug,contrast_kind,baseline_tag,variant_tag,endpoint,n_samples,mean_delta,median_delta,std_delta,effect_size_dz,positive_share,ci_low,ci_high,sign_flip_pvalue
a1_abstain_toggle:v3_a1_gpt_4_1_abstain_false__vs__v3_a1_gpt_4_1_abstain_true,a1_abstain_toggle,abstain_toggle,v3_a1_gpt_4_1_abstain_false,v3_a1_gpt_4_1_abstain_true,abstain_rate,30,0.2016666666666667,0.175,0.15563182312051765,1.2957932550240752,0.9,0.14833333333333337,0.25833333333333336,0.0001999600079984003
a1_abstain_toggle:v3_a1_gpt_4_1_abstain_false__vs__v3_a1_gpt_4_1_abstain_true,a1_abstain_toggle,abstain_toggle,v3_a1_gpt_4_1_abstain_false,v3_a1_gpt_4_1_abstain_true,closed_world_conflict,30,-0.03368832983333333,0.0,0.18251151305595315,-0.18458194373198467,0.13333333333333333,-0.10050817057083335,-2.9999912499971046e-05,0.05898820235952809
a1_abstain_toggle:v3_a1_gpt_4_1_abstain_false__vs__v3_a1_gpt_4_1_abstain_true,a1_abstain_toggle,abstain_toggle,v3_a1_gpt_4_1_abstain_false,v3_a1_gpt_4_1_abstain_true,closed_world_expected_stage,30,0.26666666666666666,0.0,0.6396838299494921,0.4168726082816913,0.16666666666666666,0.06666666666666667,0.5,0.06598680263947211
a1_abstain_toggle:v3_a1_gpt_4_1_abstain_false__vs__v3_a1_gpt_4_1_abstain_true,a1_abstain_toggle,abstain_toggle,v3_a1_gpt_4_1_abstain_false,v3_a1_gpt_4_1_abstain_true,mean_expected_stage,30,0.1998407193511683,0.25,0.627477435076157,0.3184827185489365,0.7666666666666667,-0.0343548832685346,0.4125953130886856,0.09138172365526895
a1_abstain_toggle:v3_a1_gpt_4_1_abstain_false__vs__v3_a1_gpt_4_1_abstain_true,a1_abstain_toggle,abstain_toggle,v3_a1_gpt_4_1_abstain_false,v3_a1_gpt_4_1_abstain_true,mean_score_expert_agreement_prob,30,0.02956666666666667,0.019999999999999796,0.06437052406044314,0.4593199620202553,0.6333333333333333,0.008379583333333374,0.05249166666666658,0.016196760647870425
a1_abstain_toggle:v3_a1_gpt_4_1_abstain_false__vs__v3_a1_gpt_4_1_abstain_true,a1_abstain_toggle,abstain_toggle,v3_a1_gpt_4_1_abstain_false,v3_a1_gpt_4_1_abstain_true,mean_subset_size,30,0.024368777650511413,0.05555555555555558,0.2951995535213541,0.08255018464568453,0.5666666666666667,-0.08289968392890215,0.12291241379592767,0.6442711457708459
a1_abstain_toggle:v3_a1_gpt_4_1_abstain_false__vs__v3_a1_gpt_4_1_abstain_true,a1_abstain_toggle,abstain_toggle,v3_a1_gpt_4_1_abstain_false,v3_a1_gpt_4_1_abstain_true,mid_scale_mass,30,0.10317534031156322,0.11081871345029243,0.3229383735365741,0.3194892548125074,0.5333333333333333,-0.00935560374247166,0.21244115582392792,0.08878224355128975
a1_abstain_toggle:v3_a1_gpt_4_1_abstain_false__vs__v3_a1_gpt_4_1_abstain_true,a1_abstain_toggle,abstain_toggle,v3_a1_gpt_4_1_abstain_false,v3_a1_gpt_4_1_abstain_true,singleton_rate,30,-0.047105152902366526,-0.06349206349206352,0.2169468402434705,-0.21712762836048846,0.36666666666666664,-0.12218866796043655,0.02995730460987806,0.2435512897420516
a1_abstain_toggle:v3_a1_gpt_4_1_abstain_false__vs__v3_a1_gpt_4_1_abstain_true,a1_abstain_toggle,abstain_toggle,v3_a1_gpt_4_1_abstain_false,v3_a1_gpt_4_1_abstain_true,stage_entropy,30,-0.0059831659753260625,0.03469961444888797,0.22178257832429746,-0.0269776193447318,0.6,-0.09062975103759671,0.06874129345701507,0.8844231153769246
a1_abstain_toggle:v3_a1_gpt_4_1_abstain_false__vs__v3_a1_gpt_4_1_abstain_true,a1_abstain_toggle,abstain_toggle,v3_a1_gpt_4_1_abstain_false,v3_a1_gpt_4_1_abstain_true,tbm_conflict,30,0.004364444915130276,5.551115123125783e-17,0.01860734888194282,0.23455490316332359,0.5,0.0003558639159208855,0.011568294676307971,0.007198560287942412
